user_id,item_id,rating
0,15,4.0
0,21,2.0
0,28,3.0
0,50,2.0
0,114,2.0
0,148,1.0
0,170,1.0
0,185,2.0
0,187,4.0
0,195,2.0
0,208,1.0
0,268,4.0
0,270,2.0
0,294,1.0
1,32,3.0
1,65,3.0
1,66,3.0
1,85,1.0
1,108,3.0
1,131,3.0
1,133,3.0
1,143,3.0
1,145,2.0
1,209,2.0
1,234,3.0
1,293,3.0
1,295,5.0
2,7,3.0
2,15,4.0
2,36,2.0
2,55,2.0
2,63,5.0
2,64,2.0
2,80,1.0
2,95,3.0
2,113,5.0
2,148,3.0
2,160,3.0
2,168,4.0
2,170,5.0
2,179,2.0
2,189,5.0
2,193,4.0
2,234,2.0
2,240,2.0
2,252,4.0
2,253,2.0
2,257,2.0
2,270,4.0
2,273,5.0
2,274,4.0
3,27,4.0
3,38,3.0
3,41,4.0
3,52,2.0
3,66,5.0
3,76,4.0
3,82,3.0
3,113,5.0
3,118,5.0
3,143,5.0
3,144,4.0
3,157,3.0
3,199,5.0
3,200,4.0
3,202,2.0
3,216,5.0
3,222,5.0
3,230,5.0
3,243,4.0
3,271,4.0
4,19,5.0
4,28,4.0
4,57,3.0
4,58,2.0
4,60,5.0
4,69,3.0
4,82,3.0
4,86,5.0
4,100,2.0
4,101,3.0
4,104,4.0
4,105,1.0
4,111,2.0
4,122,5.0
4,136,3.0
4,139,2.0
4,171,2.0
4,176,5.0
4,195,3.0
4,197,3.0
4,200,2.0
4,261,3.0
4,266,4.0
5,3,4.0
5,16,1.0
5,21,3.0
5,23,1.0
5,30,1.0
5,53,1.0
5,56,1.0
5,76,2.0
5,129,3.0
5,137,2.0
5,146,1.0
5,155,3.0
5,158,1.0
5,197,1.0
6,10,3.0
6,23,4.0
6,59,5.0
6,73,3.0
6,95,3.0
6,98,1.0
6,139,2.0
6,144,3.0
6,148,1.0
6,162,3.0
6,189,3.0
6,194,3.0
6,206,3.0
6,224,4.0
6,257,3.0
6,264,1.0
6,285,3.0
6,296,2.0
7,29,2.0
7,41,3.0
7,53,4.0
7,54,5.0
7,79,4.0
7,81,5.0
7,93,3.0
7,110,2.0
7,117,3.0
7,129,3.0
7,134,3.0
7,140,2.0
7,155,3.0
7,163,5.0
7,200,5.0
7,213,4.0
7,234,5.0
7,235,4.0
7,238,4.0
7,252,4.0
7,260,1.0
7,277,3.0
7,295,5.0
7,299,4.0
8,13,5.0
8,15,5.0
8,18,3.0
8,25,5.0
8,27,3.0
8,38,3.0
8,39,4.0
8,54,4.0
8,64,1.0
8,101,5.0
8,107,3.0
8,128,3.0
8,189,5.0
8,208,3.0
8,211,2.0
8,218,4.0
8,225,3.0
8,230,5.0
8,235,4.0
8,250,5.0
8,257,4.0
8,269,4.0
9,2,3.0
9,7,2.0
9,30,1.0
9,54,5.0
9,68,3.0
9,71,4.0
9,104,4.0
9,112,2.0
9,132,5.0
9,135,1.0
9,145,4.0
9,146,2.0
9,167,3.0
9,170,4.0
9,176,5.0
9,184,5.0
9,193,4.0
9,207,5.0
9,214,3.0
9,216,4.0
9,221,2.0
9,248,1.0
9,277,4.0
9,279,1.0
9,298,4.0
10,17,1.0
10,25,3.0
10,35,3.0
10,41,2.0
10,69,1.0
10,142,1.0
10,169,1.0
10,184,1.0
10,191,1.0
10,204,1.0
10,212,1.0
10,221,1.0
10,250,3.0
10,256,4.0
10,263,2.0
10,278,3.0
11,25,2.0
11,48,2.0
11,55,3.0
11,59,3.0
11,72,5.0
11,82,1.0
11,114,4.0
11,147,4.0
11,149,3.0
11,175,3.0
11,215,2.0
11,232,3.0
11,259,2.0
11,263,2.0
12,8,3.0
12,10,2.0
12,44,3.0
12,65,1.0
12,68,3.0
12,69,2.0
12,76,5.0
12,101,3.0
12,104,3.0
12,117,5.0
12,146,2.0
12,156,3.0
12,162,3.0
12,190,3.0
12,202,2.0
12,205,2.0
12,224,2.0
12,226,4.0
12,252,4.0
12,268,4.0
12,276,3.0
12,277,3.0
12,295,5.0
13,48,2.0
13,58,2.0
13,68,1.0
13,70,5.0
13,101,4.0
13,119,5.0
13,126,4.0
13,141,2.0
13,159,4.0
13,173,5.0
13,183,2.0
13,194,3.0
13,198,3.0
13,204,2.0
13,207,5.0
13,219,5.0
13,223,3.0
13,224,4.0
13,232,4.0
13,233,3.0
13,242,3.0
13,261,4.0
13,279,3.0
13,289,1.0
13,293,5.0
14,6,4.0
14,38,4.0
14,40,3.0
14,58,2.0
14,65,3.0
14,72,4.0
14,74,3.0
14,81,5.0
14,82,1.0
14,89,3.0
14,120,3.0
14,123,4.0
14,128,5.0
14,137,3.0
14,138,3.0
14,150,4.0
14,151,3.0
14,156,3.0
14,161,4.0
14,167,3.0
14,172,4.0
14,174,3.0
14,183,3.0
14,210,4.0
14,213,5.0
14,216,4.0
14,218,4.0
14,223,2.0
14,227,5.0
14,246,3.0
14,252,5.0
14,262,4.0
14,280,1.0
14,284,3.0
14,287,3.0
15,5,2.0
15,17,1.0
15,76,3.0
15,80,1.0
15,119,3.0
15,168,3.0
15,177,3.0
15,236,3.0
15,245,2.0
15,251,3.0
15,269,2.0
16,12,5.0
16,18,1.0
16,48,1.0
16,83,1.0
16,103,2.0
16,132,2.0
16,134,2.0
16,144,2.0
16,147,1.0
16,164,4.0
16,173,4.0
16,175,3.0
16,181,1.0
16,200,3.0
16,210,3.0
16,216,1.0
16,218,3.0
16,223,3.0
16,224,3.0
16,229,3.0
16,243,2.0
16,249,3.0
17,8,3.0
17,19,5.0
17,25,4.0
17,86,5.0
17,102,5.0
17,109,3.0
17,136,4.0
17,139,1.0
17,151,1.0
17,152,5.0
17,155,4.0
17,158,3.0
17,165,5.0
17,174,2.0
17,187,5.0
17,203,3.0
17,224,3.0
17,232,4.0
17,281,1.0
18,20,3.0
18,24,4.0
18,31,4.0
18,35,5.0
18,43,4.0
18,54,5.0
18,58,3.0
18,59,5.0
18,61,1.0
18,69,2.0
18,76,2.0
18,88,2.0
18,117,4.0
18,142,4.0
18,143,5.0
18,148,2.0
18,163,3.0
18,175,4.0
18,186,3.0
18,187,5.0
18,206,5.0
18,216,5.0
18,220,3.0
18,226,5.0
18,237,5.0
18,248,4.0
18,251,3.0
18,256,3.0
18,268,5.0
18,282,4.0
18,292,2.0
19,10,2.0
19,12,5.0
19,19,5.0
19,47,2.0
19,57,4.0
19,63,5.0
19,100,4.0
19,102,5.0
19,107,3.0
19,111,4.0
19,115,4.0
19,139,2.0
19,147,4.0
19,153,4.0
19,158,2.0
19,171,3.0
19,177,1.0
19,183,3.0
19,198,5.0
19,201,3.0
19,232,5.0
19,259,4.0
19,261,5.0
19,276,4.0
19,288,4.0
20,11,1.0
20,32,2.0
