user_id,item_id,rating
0,32,3.0
0,249,4.0
0,168,2.0
0,114,2.0
0,217,1.0
0,204,3.0
0,207,3.0
0,146,1.0
0,245,4.0
0,149,3.0
0,264,1.0
0,167,3.0
0,155,3.0
0,119,2.0
0,157,1.0
1,212,2.0
1,167,2.0
1,263,1.0
1,197,2.0
1,130,1.0
1,208,2.0
1,189,3.0
1,274,3.0
1,162,3.0
1,18,1.0
1,218,3.0
1,69,2.0
1,90,1.0
1,2,4.0
1,81,3.0
2,146,4.0
2,2,3.0
2,249,5.0
2,263,3.0
2,269,3.0
2,108,3.0
2,52,1.0
2,248,2.0
2,113,5.0
2,202,2.0
2,110,1.0
2,256,3.0
2,97,5.0
2,33,1.0
2,73,5.0
3,103,2.0
3,0,4.0
3,153,5.0
3,178,2.0
3,294,3.0
3,91,5.0
3,171,3.0
3,131,5.0
3,200,4.0
3,162,5.0
3,42,3.0
3,78,2.0
3,104,4.0
3,262,2.0
3,60,3.0
4,63,5.0
4,237,4.0
4,226,3.0
4,88,2.0
4,37,4.0
4,141,5.0
4,83,1.0
4,281,3.0
4,6,3.0
4,23,4.0
4,12,5.0
4,131,5.0
4,130,2.0
4,286,3.0
4,266,4.0
5,210,2.0
5,203,1.0
5,275,2.0
5,1,3.0
5,41,1.0
5,209,2.0
5,84,3.0
5,181,1.0
5,270,1.0
5,297,2.0
5,226,1.0
5,51,2.0
5,99,2.0
5,153,2.0
5,223,1.0
6,32,2.0
6,40,1.0
6,229,4.0
6,196,2.0
6,164,1.0
6,47,1.0
6,111,3.0
6,260,1.0
6,107,1.0
6,266,3.0
6,11,2.0
6,212,2.0
6,258,1.0
6,243,1.0
6,33,1.0
7,223,2.0
7,21,4.0
7,101,3.0
7,143,3.0
7,120,5.0
7,161,4.0
7,190,2.0
7,293,3.0
7,284,1.0
7,61,2.0
7,130,1.0
7,31,3.0
7,289,2.0
7,14,5.0
7,126,1.0
8,270,3.0
8,258,5.0
8,131,5.0
8,153,5.0
8,167,4.0
8,232,5.0
8,68,4.0
8,19,5.0
8,185,2.0
8,104,3.0
8,234,5.0
8,208,3.0
8,181,2.0
8,41,4.0
8,194,1.0
9,59,5.0
9,173,5.0
9,62,3.0
9,244,2.0
9,117,5.0
9,44,4.0
9,40,2.0
9,267,4.0
9,177,2.0
9,154,5.0
9,279,1.0
9,22,4.0
9,270,4.0
9,191,4.0
9,26,4.0
10,77,1.0
10,58,2.0
10,263,2.0
10,252,3.0
10,48,1.0
10,7,1.0
10,194,1.0
10,12,5.0
10,229,3.0
10,50,1.0
10,189,1.0
10,145,2.0
10,255,2.0
10,60,1.0
10,69,1.0
11,62,2.0
11,19,5.0
11,5,2.0
11,155,4.0
11,240,1.0
11,184,2.0
11,13,4.0
11,89,3.0
11,266,1.0
11,35,4.0
11,280,1.0
11,218,2.0
11,283,3.0
11,253,1.0
11,285,4.0
12,91,3.0
12,96,1.0
12,136,2.0
12,11,2.0
12,126,2.0
12,274,4.0
12,43,1.0
12,47,1.0
12,160,3.0
12,166,4.0
12,267,5.0
12,229,5.0
12,221,2.0
12,297,3.0
12,139,2.0
13,155,4.0
13,45,5.0
13,99,5.0
13,77,2.0
13,188,2.0
13,34,1.0
13,54,4.0
13,128,2.0
13,213,4.0
13,266,4.0
13,126,4.0
13,53,2.0
13,295,4.0
13,285,4.0
13,112,2.0
14,123,4.0
14,206,5.0
14,131,4.0
14,286,2.0
14,187,5.0
14,223,2.0
14,82,1.0
14,91,4.0
14,103,3.0
14,241,5.0
14,10,2.0
14,188,5.0
14,257,5.0
14,69,1.0
14,177,3.0
15,85,1.0
15,188,1.0
15,235,2.0
15,198,3.0
15,88,2.0
15,150,3.0
15,64,1.0
15,160,1.0
15,201,4.0
15,80,1.0
15,236,3.0
15,60,3.0
15,5,2.0
15,184,2.0
15,19,4.0
16,98,3.0
16,49,2.0
16,55,1.0
16,36,1.0
16,43,3.0
16,27,2.0
16,298,2.0
16,68,1.0
16,261,4.0
16,269,5.0
16,124,1.0
16,167,2.0
16,146,2.0
16,258,3.0
16,52,2.0
17,203,3.0
17,51,1.0
17,115,3.0
17,291,1.0
17,226,4.0
17,46,5.0
17,232,4.0
17,98,4.0
17,274,4.0
17,33,1.0
17,152,5.0
17,295,5.0
17,248,1.0
17,154,3.0
17,97,4.0
18,142,4.0
18,33,1.0
18,12,5.0
18,104,3.0
18,162,4.0
18,224,5.0
18,15,5.0
18,140,2.0
18,77,2.0
18,173,5.0
18,108,5.0
18,67,4.0
18,62,5.0
18,261,4.0
18,21,3.0
19,28,5.0
19,299,5.0
19,111,4.0
19,282,3.0
19,251,5.0
19,172,3.0
